Monthyear,incident,Year,Month
199104,58,1991,04
199102,60,1991,02
199103,58,1991,03
199105,69,1991,05
199106,74,1991,06
199107,82,1991,07
199108,71,1991,08
199110,116,1991,10
199109,91,1991,09
199111,87,1991,11
199112,51,1991,12
199101,77,1991,01
199202,111,1992,02
199211,95,1992,11
199212,53,1992,12
199204,105,1992,04
199205,120,1992,05
199207,89,1992,07
199209,85,1992,09
199203,106,1992,03
199206,93,1992,06
199208,77,1992,08
199201,74,1992,01
199210,105,1992,10
199302,71,1993,02
199304,80,1993,04
199301,88,1993,01
199305,97,1993,05
199307,125,1993,07
199310,99,1993,10
199311,109,1993,11
199312,66,1993,12
199306,92,1993,06
199308,110,1993,08
199309,101,1993,09
199303,62,1993,03
199405,82,1994,05
199412,75,1994,12
199402,73,1994,02
199403,81,1994,03
199404,85,1994,04
199401,55,1994,01
199406,55,1994,06
199407,72,1994,07
199408,76,1994,08
199410,101,1994,10
199409,83,1994,09
199411,57,1994,11
199511,46,1995,11
199502,54,1995,02
199512,52,1995,12
199503,91,1995,03
199504,79,1995,04
199508,52,1995,08
199509,56,1995,09
199507,58,1995,07
199501,68,1995,01
199510,104,1995,10
199506,69,1995,06
199505,39,1995,05
199611,88,1996,11
199612,67,1996,12
199603,75,1996,03
199601,52,1996,01
199605,55,1996,05
199606,81,1996,06
199607,54,1996,07
199609,74,1996,09
199610,86,1996,10
199604,91,1996,04
199602,44,1996,02
199608,72,1996,08
199706,51,1997,06
199710,76,1997,10
199709,55,1997,09
199708,50,1997,08
199711,48,1997,11
199702,62,1997,02
199705,70,1997,05
199701,63,1997,01
199707,55,1997,07
199712,41,1997,12
199703,66,1997,03
199704,57,1997,04
199812,56,1998,12
199802,51,1998,02
199805,61,1998,05
199806,76,1998,06
199808,77,1998,08
199801,45,1998,01
199810,99,1998,10
199803,38,1998,03
199807,59,1998,07
199809,83,1998,09
199804,48,1998,04
199811,64,1998,11
199901,44,1999,01
199909,49,1999,09
199910,63,1999,10
199902,52,1999,02
199907,49,1999,07
199904,70,1999,04
199903,52,1999,03
199905,44,1999,05
199906,53,1999,06
199911,55,1999,11
199912,40,1999,12
199908,46,1999,08
200006,42,2000,06
200010,101,2000,10
200005,57,2000,05
200002,56,2000,02
200009,46,2000,09
200008,49,2000,08
200007,65,2000,07
200004,61,2000,04
200001,38,2000,01
200012,27,2000,12
200003,68,2000,03
200011,42,2000,11
200107,52,2001,07
200112,28,2001,12
200102,54,2001,02
200104,66,2001,04
200109,177,2001,09
200110,87,2001,10
200106,50,2001,06
200105,55,2001,05
200101,38,2001,01
200111,42,2001,11
200103,71,2001,03
200108,47,2001,08
200202,43,2002,02
200210,53,2002,10
200205,43,2002,05
200201,40,2002,01
200203,54,2002,03
200209,57,2002,09
200212,40,2002,12
200211,41,2002,11
200206,49,2002,06
200204,68,2002,04
200207,49,2002,07
200208,33,2002,08
200305,43,2003,05
200306,40,2003,06
200310,83,2003,10
200308,40,2003,08
200303,60,2003,03
200301,36,2003,01
200309,42,2003,09
200311,69,2003,11
200304,47,2003,04
200307,43,2003,07
200312,57,2003,12
200302,34,2003,02
200405,82,2004,05
200402,77,2004,02
200406,67,2004,06
200410,81,2004,10
200407,57,2004,07
200411,83,2004,11
200408,47,2004,08
200401,37,2004,01
200403,55,2004,03
200409,60,2004,09
200404,77,2004,04
200412,46,2004,12
200508,62,2005,08
200509,66,2005,09
200501,56,2005,01
200502,42,2005,02
200511,63,2005,11
200504,80,2005,04
200506,48,2005,06
200510,80,2005,10
200505,60,2005,05
200503,62,2005,03
200507,70,2005,07
200512,49,2005,12
200603,83,2006,03
200602,60,2006,02
200609,67,2006,09
200612,43,2006,12
200604,77,2006,04
200606,61,2006,06
200608,46,2006,08
200610,72,2006,10
200605,74,2006,05
200607,54,2006,07
200611,56,2006,11
200601,66,2006,01
200702,44,2007,02
200707,54,2007,07
200701,50,2007,01
200704,77,2007,04
200708,51,2007,08
200705,70,2007,05
200711,57,2007,11
200703,67,2007,03
200706,58,2007,06
200710,109,2007,10
200709,66,2007,09
200712,45,2007,12
200801,50,2008,01
200809,67,2008,09
200812,40,2008,12
200808,55,2008,08
200802,64,2008,02
200805,78,2008,05
200806,55,2008,06
200811,60,2008,11
200804,74,2008,04
200810,75,2008,10
200803,72,2008,03
200807,54,2008,07
200910,64,2009,10
200911,38,2009,11
200905,51,2009,05
200908,39,2009,08
200912,53,2009,12
200902,47,2009,02
200909,54,2009,09
200904,43,2009,04
200901,52,2009,01
200906,41,2009,06
200907,31,2009,07
200903,36,2009,03
201002,21,2010,02
201003,49,2010,03
201004,55,2010,04
201006,37,2010,06
201009,80,2010,09
201010,24,2010,10
201001,39,2010,01
201005,54,2010,05
201008,56,2010,08
201011,48,2010,11
201007,40,2010,07
201012,40,2010,12
201109,36,2011,09
201111,52,2011,11
201102,43,2011,02
201110,56,2011,10
201101,28,2011,01
201107,32,2011,07
201105,58,2011,05
201106,31,2011,06
201108,36,2011,08
201103,44,2011,03
201104,45,2011,04
201112,47,2011,12
201203,59,2012,03
201208,30,2012,08
201212,26,2012,12
201207,43,2012,07
201209,42,2012,09
201211,25,2012,11
201202,50,2012,02
201204,52,2012,04
201206,39,2012,06
201210,41,2012,10
201201,56,2012,01
201205,42,2012,05
201304,49,2013,04
201305,45,2013,05
201310,44,2013,10
201311,36,2013,11
201301,16,2013,01
201302,37,2013,02
201309,32,2013,09
201306,39,2013,06
201303,20,2013,03
201307,34,2013,07
201308,36,2013,08
201312,26,2013,12
201410,38,2014,10
201411,24,2014,11
201407,22,2014,07
201408,27,2014,08
201401,27,2014,01
201402,28,2014,02
201405,36,2014,05
201406,31,2014,06
201409,25,2014,09
201412,24,2014,12
201404,27,2014,04
201403,27,2014,03
201508,27,2015,08
201501,22,2015,01
201507,23,2015,07
201510,27,2015,10
201503,29,2015,03
201506,31,2015,06
201505,31,2015,05
201502,22,2015,02
201512,33,2015,12
201509,23,2015,09
201504,37,2015,04
201511,25,2015,11
201603,6,2016,03
201612,25,2016,12
201608,30,2016,08
201605,29,2016,05
201604,31,2016,04
201610,27,2016,10
201602,10,2016,02
201607,34,2016,07
201601,4,2016,01
201606,23,2016,06
201611,34,2016,11
201609,29,2016,09
201703,55,2017,03
201702,47,2017,02
201711,43,2017,11
201710,60,2017,10
201707,40,2017,07
201709,38,2017,09
201704,26,2017,04
201706,56,2017,06
201712,24,2017,12
201708,40,2017,08
201701,27,2017,01
201705,39,2017,05